0,1,2
19.098593171027442,38.0,11.0
19.098593171027442,42.0,13.0
19.098593171027442,46.0,14.0
19.098593171027442,50.0,15.0
19.098593171027442,54.0,16.0
19.098593171027442,58.0,17.0
19.098593171027442,62.0,18.0
19.098593171027442,66.0,19.0
20.371832715762604,38.0,13.0
20.371832715762604,42.0,14.0
20.371832715762604,46.0,16.0
20.371832715762604,50.0,17.0
20.371832715762604,54.0,18.0
20.371832715762604,58.0,19.0
20.371832715762604,62.0,21.0
20.371832715762604,66.0,22.0
20.371832715762604,70.0,24.0
21.645072260497766,38.0,15.0
21.645072260497766,42.0,16.0
21.645072260497766,46.0,18.0
21.645072260497766,50.0,19.0
21.645072260497766,54.0,21.0
21.645072260497766,58.0,22.0
21.645072260497766,62.0,24.0
21.645072260497766,66.0,25.0
21.645072260497766,70.0,27.0
21.645072260497766,74.0,28.0
22.91831180523293,42.0,18.0
22.91831180523293,46.0,20.0
22.91831180523293,50.0,22.0
22.91831180523293,54.0,23.0
22.91831180523293,58.0,25.0
22.91831180523293,62.0,27.0
22.91831180523293,66.0,28.0
22.91831180523293,70.0,30.0
22.91831180523293,74.0,32.0
24.19155134996809,50.0,24.0
24.19155134996809,54.0,26.0
24.19155134996809,58.0,28.0
24.19155134996809,62.0,30.0
24.19155134996809,66.0,32.0
24.19155134996809,70.0,34.0
24.19155134996809,74.0,36.0
24.19155134996809,78.0,37.0
24.19155134996809,82.0,39.0
25.464790894703256,50.0,27.0
25.464790894703256,54.0,29.0
25.464790894703256,58.0,31.0
25.464790894703256,62.0,33.0
25.464790894703256,66.0,35.0
25.464790894703256,70.0,37.0
25.464790894703256,74.0,39.0
25.464790894703256,78.0,41.0
25.464790894703256,82.0,43.0
25.464790894703256,86.0,46.0
26.73803043943842,54.0,32.0
26.73803043943842,58.0,34.0
26.73803043943842,62.0,37.0
26.73803043943842,66.0,39.0
26.73803043943842,70.0,41.0
26.73803043943842,74.0,44.0
26.73803043943842,78.0,46.0
26.73803043943842,82.0,48.0
26.73803043943842,86.0,51.0
26.73803043943842,90.0,53.0
28.01126998417358,58.0,37.0
28.01126998417358,62.0,40.0
28.01126998417358,66.0,42.0
28.01126998417358,70.0,45.0
28.01126998417358,74.0,47.0
28.01126998417358,78.0,50.0
28.01126998417358,82.0,52.0
28.01126998417358,86.0,55.0
28.01126998417358,90.0,58.0
28.01126998417358,94.0,60.0
29.284509528908742,62.0,43.0
29.284509528908742,66.0,46.0
29.284509528908742,70.0,49.0
29.284509528908742,74.0,52.0
29.284509528908742,78.0,55.0
29.284509528908742,82.0,57.0
29.284509528908742,86.0,60.0
29.284509528908742,90.0,63.0
29.284509528908742,94.0,66.0
29.284509528908742,98.0,69.0
30.557749073643905,66.0,50.0
30.557749073643905,70.0,53.0
30.557749073643905,74.0,56.0
30.557749073643905,78.0,59.0
30.557749073643905,82.0,62.0
30.557749073643905,86.0,65.0
30.557749073643905,90.0,68.0
30.557749073643905,94.0,71.0
30.557749073643905,98.0,74.0
30.557749073643905,102.0,78.0
31.830988618379067,70.0,58.0
31.830988618379067,74.0,61.0
31.830988618379067,78.0,65.0
31.830988618379067,82.0,69.0
31.830988618379067,86.0,71.0
31.830988618379067,90.0,75.0
31.830988618379067,94.0,78.0
31.830988618379067,98.0,81.0
31.830988618379067,102.0,85.0
31.830988618379067,106.0,88.0
33.10422816311423,74.0,66.0
33.10422816311423,78.0,70.0
33.10422816311423,82.0,74.0
33.10422816311423,86.0,77.0
33.10422816311423,90.0,81.0
33.10422816311423,94.0,85.0
33.10422816311423,98.0,88.0
33.10422816311423,102.0,92.0
33.10422816311423,106.0,95.0
33.10422816311423,110.0,99.0
34.37746770784939,78.0,76.0
34.37746770784939,82.0,79.0
34.37746770784939,86.0,82.0
34.37746770784939,90.0,94.0
34.37746770784939,94.0,91.0
34.37746770784939,98.0,95.0
34.37746770784939,102.0,99.0
34.37746770784939,106.0,103.0
34.37746770784939,110.0,107.0
34.37746770784939,114.0,111.0
35.65070725258456,82.0,85.0
35.65070725258456,86.0,89.0
35.65070725258456,90.0,101.0
35.65070725258456,94.0,105.0
35.65070725258456,98.0,101.0
35.65070725258456,102.0,106.0
35.65070725258456,106.0,110.0
35.65070725258456,110.0,114.0
35.65070725258456,114.0,119.0
